City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Lorengau,PG,-2.0226,147.2712,80.11,82,38,8.01,scattered clouds
1,Namibe,AO,-15.1961,12.1522,66.04,91,64,6.53,broken clouds
2,Cidreira,BR,-30.1811,-50.2056,58.37,52,0,13.56,clear sky
3,Znamenskoye,RU,57.1281,73.8282,40.68,94,60,3.31,broken clouds
4,Sovetskiy,RU,61.3614,63.5842,39.4,92,90,3.47,overcast clouds
5,Kyren,RU,51.6828,102.1408,44.02,92,42,0.94,scattered clouds
6,Coahuayana,MX,18.7333,-103.6833,88.39,66,100,7.36,overcast clouds
7,Orasac,BA,44.6289,16.0711,58.86,93,0,2.39,clear sky
8,Qaanaaq,GL,77.484,-69.3632,36.84,87,100,7.11,overcast clouds
9,Bluff,NZ,-46.6,168.3333,41.32,87,7,6.02,clear sky
10,Mataura,NZ,-46.1927,168.8643,37.26,94,9,2.57,clear sky
11,Kodiak,US,57.79,-152.4072,51.31,82,100,3.44,overcast clouds
12,Santa Rosa,PH,14.3122,121.1114,79.11,86,96,6.04,overcast clouds
13,Bereda,ES,43.2686,-7.5406,62.37,79,0,1.57,clear sky
14,Rikitea,PF,-23.1203,-134.9692,73.04,71,3,14.56,clear sky
15,Bilma,NE,18.6853,12.9164,93.15,14,9,4.61,clear sky
16,Kitimat,CA,54.0524,-128.6534,62.98,47,0,2.21,clear sky
17,Mul,IN,20.0667,79.6667,76.08,95,100,4.47,overcast clouds
18,Laguna,US,38.421,-121.4238,94.01,38,0,11.5,clear sky
19,Ribeira Grande,PT,38.5167,-28.7,73.8,73,75,20.71,broken clouds
20,Saint-Pierre,RE,-21.3393,55.4781,68.92,68,75,4.61,broken clouds
21,Jamestown,US,42.097,-79.2353,80.19,44,20,7.0,few clouds
22,Buala,SB,-8.145,159.5921,80.2,78,17,9.71,light rain
23,Khatanga,RU,71.9667,102.5,30.67,95,100,8.39,overcast clouds
24,Atuona,PF,-9.8,-139.0333,76.87,74,8,20.29,clear sky
25,Busselton,AU,-33.65,115.3333,49.95,90,9,1.95,clear sky
26,Honiara,SB,-9.4333,159.95,77.0,80,10,5.88,clear sky
27,Souillac,MU,-20.5167,57.5167,68.52,74,0,10.96,clear sky
28,Hermanus,ZA,-34.4187,19.2345,54.81,83,0,13.51,clear sky
29,Thompson,CA,55.7435,-97.8558,53.76,66,75,9.22,broken clouds
30,Goderich,CA,43.7501,-81.7165,83.91,57,96,8.05,overcast clouds
31,Sioux Lookout,CA,50.1001,-91.917,64.47,55,75,4.61,light intensity shower rain
32,Bosaso,SO,11.2842,49.1816,89.74,59,100,6.76,overcast clouds
33,Butaritari,KI,3.0707,172.7902,81.07,70,0,12.95,clear sky
34,Port Hardy,CA,50.6996,-127.4199,51.98,100,40,4.61,mist
35,Sosnovo-Ozerskoye,RU,52.5249,111.5418,42.78,81,100,3.87,overcast clouds
36,Port Alfred,ZA,-33.5906,26.891,63.18,91,100,4.0,overcast clouds
37,Seoul,KR,37.5683,126.9778,70.99,78,0,4.61,clear sky
38,Banjar,ID,-8.19,114.9675,74.86,90,100,4.05,overcast clouds
39,Tuatapere,NZ,-46.1333,167.6833,37.9,85,5,4.61,clear sky
40,Sibundoy,CO,1.2048,-76.9237,71.26,98,100,3.44,light rain
41,Te Anau,NZ,-45.4167,167.7167,34.63,86,28,0.74,scattered clouds
42,Liwale,TZ,-9.7667,37.9333,68.61,85,4,5.44,clear sky
43,Xining,CN,36.6167,101.7667,51.28,68,70,2.44,broken clouds
44,Bengkulu,ID,-3.8004,102.2655,74.14,85,59,2.93,heavy intensity rain
45,Mar Del Plata,AR,-38.0023,-57.5575,59.02,36,0,8.05,clear sky
46,Erzin,TR,36.9559,36.2,74.75,61,0,1.66,clear sky
47,Upernavik,GL,72.7868,-56.1549,44.85,88,100,8.48,light rain
48,Kapaa,US,22.0752,-159.319,82.38,78,20,12.66,light rain
49,Hobart,AU,-42.8794,147.3294,48.25,75,100,6.91,overcast clouds
50,Provideniya,RU,64.3833,-173.3,44.91,74,3,0.85,clear sky
51,Anloga,GH,5.7947,0.8973,76.98,83,78,15.08,broken clouds
52,Hasaki,JP,35.7333,140.8333,72.0,85,100,23.8,overcast clouds
53,Albany,US,42.6001,-73.9662,83.88,58,100,4.59,overcast clouds
54,Ternate,ID,0.8,127.4,78.71,81,93,4.0,overcast clouds
55,Tyup,KG,42.7276,78.3648,58.84,44,0,3.18,clear sky
56,Along,IN,28.1667,94.7667,70.41,82,2,1.61,clear sky
57,Yellowknife,CA,62.456,-114.3525,55.92,76,75,5.75,broken clouds
58,Georgetown,MY,5.4112,100.3354,82.33,87,20,3.44,few clouds
59,Cape Town,ZA,-33.9258,18.4232,57.27,91,75,9.22,broken clouds
60,Fortuna,US,40.5982,-124.1573,65.98,90,65,7.49,broken clouds
61,Salalah,OM,17.0151,54.0924,78.89,89,75,5.75,broken clouds
62,Port Moresby,PG,-9.4431,147.1797,76.42,88,40,4.61,scattered clouds
63,Kiunga,PG,-6.1219,141.2906,71.38,99,100,0.45,overcast clouds
64,Lompoc,US,34.6391,-120.4579,89.49,51,40,11.01,scattered clouds
65,Punta Arenas,CL,-53.15,-70.9167,50.11,53,0,17.27,clear sky
66,Bongandanga,CD,1.5,21.05,71.1,97,100,3.11,moderate rain
67,Saint George,US,37.1041,-113.5841,85.42,46,75,31.07,haze
68,Ushuaia,AR,-54.8,-68.3,46.06,53,20,19.57,few clouds
69,Bredasdorp,ZA,-34.5322,20.0403,54.43,80,0,12.26,clear sky
70,Katsuura,JP,35.1333,140.3,73.78,86,100,20.85,overcast clouds
71,Barrow,US,71.2906,-156.7887,35.62,93,100,16.11,mist
72,Vardo,NO,70.3705,31.1107,48.18,81,100,13.8,overcast clouds
73,Saskylakh,RU,71.9167,114.0833,33.98,98,100,13.06,light snow
74,Kahului,US,20.8947,-156.47,84.22,61,20,13.8,few clouds
75,Kamaishi,JP,39.2667,141.8833,63.37,89,80,7.54,broken clouds
76,Sfantu Gheorghe,RO,45.8667,25.7833,60.26,91,94,6.38,overcast clouds
77,Victoria,HK,22.2855,114.1577,83.32,84,17,1.01,few clouds
78,Avarua,CK,-21.2078,-159.775,78.85,78,75,14.97,broken clouds
79,Bilgi,IN,16.35,75.6167,72.52,90,100,10.29,overcast clouds
80,Dikson,RU,73.5069,80.5464,36.36,79,99,5.32,overcast clouds
81,Tiznit,MA,29.5833,-9.5,75.78,58,50,4.05,scattered clouds
82,Katherine,AU,-14.4667,132.2667,77.32,83,75,4.61,broken clouds
83,Havre-Saint-Pierre,CA,50.2334,-63.5986,70.16,68,0,8.05,clear sky
84,Ayagoz,KZ,47.9714,80.4392,55.51,26,49,3.53,scattered clouds
85,Teplodar,UA,46.5059,30.3252,68.2,79,100,13.8,overcast clouds
86,Suntar,RU,62.1444,117.6319,32.72,96,17,4.09,few clouds
87,San Joaquin,US,37.9333,-121.3011,84.49,42,0,4.61,clear sky
88,Rocha,UY,-34.4833,-54.3333,51.3,61,0,12.64,clear sky
89,Conde,BR,-7.2597,-34.9075,78.26,69,75,14.97,broken clouds
90,Palanga,LT,55.9175,21.0686,57.22,72,100,1.14,overcast clouds
91,Lavrentiya,RU,65.5833,-171.0,41.88,87,100,4.99,overcast clouds
92,Pocosol,CR,10.3667,-84.6167,83.28,77,100,3.6,overcast clouds
93,Berezniki,RU,59.4152,56.8124,43.16,98,100,3.8,overcast clouds
94,Honningsvag,NO,70.9821,25.9704,46.15,87,100,10.36,light rain
95,Salinopolis,BR,-0.6136,-47.3561,81.63,75,100,12.26,overcast clouds
96,Codrington,AU,-38.2667,141.9667,48.51,87,100,11.45,light rain
97,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,100,13.8,overcast clouds
98,Maiduguri,NG,11.8464,13.1603,72.23,91,94,4.03,overcast clouds
99,Qaqortoq,GL,60.7167,-46.0333,49.3,65,12,1.57,few clouds
100,Vaini,TO,-21.2,-175.2,75.36,88,75,8.05,broken clouds
101,Saint-Philippe,RE,-21.3585,55.7679,65.79,73,51,11.25,broken clouds
102,Shubarshi,KZ,48.5872,57.1869,52.95,60,98,18.07,overcast clouds
103,Noumea,NC,-22.2763,166.4572,75.0,99,1,4.21,clear sky
104,Tasiilaq,GL,65.6145,-37.6368,44.76,76,9,2.91,clear sky
105,Samsun,TR,41.25,36.3333,68.0,97,0,2.3,clear sky
106,Touros,BR,-5.1989,-35.4608,77.63,73,0,17.78,clear sky
107,Nueva Esperanza,HN,15.2667,-87.6,87.42,67,81,2.73,broken clouds
108,Rawson,AR,-43.3002,-65.1023,63.37,31,0,6.35,clear sky
109,Kalmar,SE,56.6616,16.3616,59.14,92,100,2.3,overcast clouds
110,Xichang,CN,27.8964,102.2634,56.12,95,69,1.21,broken clouds
111,Mehran,IR,33.1222,46.1646,94.23,13,0,8.1,clear sky
112,Ridgetown,CA,42.4334,-81.8998,76.86,47,100,13.6,overcast clouds
113,Pisco,PE,-13.7,-76.2167,65.01,72,0,10.36,clear sky
114,Menongue,AO,-14.6585,17.691,66.11,21,25,5.75,scattered clouds
115,Esperance,AU,-33.8667,121.9,50.77,88,100,7.83,overcast clouds
116,Mahebourg,MU,-20.4081,57.7,67.24,71,3,12.95,clear sky
117,Ponta Do Sol,PT,32.6667,-17.1,78.71,83,100,5.61,overcast clouds
118,Ishigaki,JP,24.3448,124.1572,80.73,100,75,20.71,broken clouds
119,Lokosovo,RU,61.1333,74.8167,37.27,83,81,2.62,broken clouds
120,Faanui,PF,-16.4833,-151.75,79.11,72,4,19.53,clear sky
121,Mehamn,NO,71.0357,27.8492,46.35,87,75,13.8,light intensity drizzle
