City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-05-25 02:26:37,-33.8667,121.9,62.55,68,72,14.41
1,Mataura,NZ,2022-05-25 02:26:37,-46.1927,168.8643,48.47,82,100,7.85
2,Ushuaia,AR,2022-05-25 02:22:52,-54.8,-68.3,38.86,60,40,28.77
3,Broome,US,2022-05-25 02:26:38,42.2506,-75.833,60.71,79,0,4.61
4,Pangnirtung,CA,2022-05-25 02:26:40,66.1451,-65.7125,18.52,91,100,7.99
5,Sao Filipe,CV,2022-05-25 02:26:42,14.8961,-24.4956,71.53,78,1,6.73
6,Kilembe,UG,2022-05-25 02:26:42,0.2,30.0,58.06,91,100,4.81
7,Albany,US,2022-05-25 02:23:24,42.6001,-73.9662,63.01,70,100,3.2
8,Suzhou,CN,2022-05-25 02:26:43,31.3114,120.6181,76.87,60,62,1.95
9,Bredasdorp,ZA,2022-05-25 02:26:45,-34.5322,20.0403,56.35,87,100,5.01
10,Kota Belud,MY,2022-05-25 02:26:46,6.351,116.4305,87.35,64,92,3.0
11,Payson,US,2022-05-25 02:23:39,40.0444,-111.7321,65.68,20,40,10.36
12,Ola,RU,2022-05-25 02:26:47,59.5833,151.2833,43.14,98,100,3.71
13,Melville,US,2022-05-25 02:26:47,40.7934,-73.4151,59.59,73,0,4.61
14,Aswan,EG,2022-05-25 02:26:48,24.0934,32.907,76.39,21,0,8.1
15,Kupang,ID,2022-05-25 02:26:48,-10.1667,123.5833,87.66,61,51,7.67
16,Ust-Tsilma,RU,2022-05-25 02:26:49,65.441,52.1498,44.82,89,100,5.95
17,Daru,PG,2022-05-25 02:26:50,-9.0763,143.2092,84.43,72,25,10.87
18,Chokurdakh,RU,2022-05-25 02:26:51,70.6333,147.9167,34.16,96,100,6.49
19,Coquimbo,CL,2022-05-25 02:22:51,-29.9533,-71.3436,55.13,94,0,4.61
20,Taft,IR,2022-05-25 02:26:51,31.7471,54.2088,67.95,6,0,9.22
21,Henties Bay,NA,2022-05-25 02:26:52,-22.116,14.2845,59.61,70,0,3.74
22,Rikitea,PF,2022-05-25 02:26:52,-23.1203,-134.9692,76.32,74,16,9.64
23,Acarau,BR,2022-05-25 02:26:54,-2.8856,-40.12,75.7,87,70,10.42
24,Key Largo,US,2022-05-25 02:26:55,25.0865,-80.4473,81.99,66,60,15.32
25,Brigantine,US,2022-05-25 02:26:56,39.4101,-74.3646,58.05,85,100,10.36
26,Busselton,AU,2022-05-25 02:26:56,-33.65,115.3333,62.96,69,99,2.84
27,Linhares,BR,2022-05-25 02:26:57,-19.3911,-40.0722,64.33,97,35,2.84
28,Kapaa,US,2022-05-25 02:26:57,22.0752,-159.319,79.12,69,0,11.5
29,Hobart,AU,2022-05-25 02:25:40,-42.8794,147.3294,59.25,66,20,10.36
30,Lambarene,GA,2022-05-25 02:26:59,-0.7001,10.2406,71.28,91,100,3.47
31,Ancud,CL,2022-05-25 02:27:00,-41.8697,-73.8203,42.31,87,32,5.48
32,Hilo,US,2022-05-25 02:23:10,19.7297,-155.09,85.28,69,40,9.22
